,a_nav_status_xi,nav_status_D,nav_status_E,nav_status_N,nav_status_alt,nav_status_origin_lat,nav_status_origin_lon,nav_status_pitch,nav_status_roll,nav_status_yaw
87,2021-09-20 09:26:44.739873,0.0,-167.22742529141274,-96.33899721923153,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6358587741851807
88,2021-09-20 09:26:44.784825,0.0,-167.2170081707188,-96.34480979317665,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6424503326416016
89,2021-09-20 09:26:44.813677,0.0,-167.2066803002041,-96.35065110009673,0.0,39.154599999999995,2.9449,-0.0,0.0,1.587385654449463
90,2021-09-20 09:26:44.873863,0.0,-167.1860368559161,-96.36195753843131,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5932295322418213
91,2021-09-20 09:26:44.908487,0.0,-167.17360567508814,-96.36414348367649,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6267110109329224
92,2021-09-20 09:26:44.940498,0.0,-167.16297411100305,-96.3695748872083,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6075568199157715
93,2021-09-20 09:26:44.973916,0.0,-167.15258884781446,-96.37481500218425,0.0,39.154599999999995,2.9449,-0.0,0.0,1.589057207107544
94,2021-09-20 09:26:45.002541,0.0,-167.14191928264037,-96.3801069226048,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5742045640945435
95,2021-09-20 09:26:45.051544,0.0,-167.13111257167355,-96.38540783358089,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6251633167266846
96,2021-09-20 09:26:45.104948,0.0,-167.11012691292683,-96.39086521481566,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5641984939575195
97,2021-09-20 09:26:45.139874,0.0,-167.09967058292963,-96.39563414141071,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5807911157608032
98,2021-09-20 09:26:45.184604,0.0,-167.0887589541573,-96.40068546266065,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5804979801177979
99,2021-09-20 09:26:45.209882,0.0,-167.07838893326462,-96.40564304375044,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5775622129440308
100,2021-09-20 09:26:45.238276,0.0,-167.0676999076771,-96.41078319118904,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5673145055770874
101,2021-09-20 09:26:45.274841,0.0,-167.05735089416095,-96.41565722335493,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5813950300216675
102,2021-09-20 09:26:45.343688,0.0,-167.0358600984025,-96.42189409679305,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5620392560958862
103,2021-09-20 09:26:45.406393,0.0,-167.01477803652284,-96.43161496036502,0.0,39.154599999999995,2.9449,-0.0,0.0,1.554756999015808
104,2021-09-20 09:26:45.442155,0.0,-167.00437044976775,-96.4362327283158,0.0,39.154599999999995,2.9449,-0.0,0.0,1.552239179611206
105,2021-09-20 09:26:45.475947,0.0,-166.9936251876081,-96.4411533126774,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5553056001663208
106,2021-09-20 09:26:45.510370,0.0,-166.98095271176152,-96.4388058358316,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5541751384735107
107,2021-09-20 09:26:45.542062,0.0,-166.97043175014383,-96.44326989762384,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5533031225204468
108,2021-09-20 09:26:45.608823,0.0,-166.9491327018372,-96.45242089216923,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5430006980895996
109,2021-09-20 09:26:45.642092,0.0,-166.93871128122947,-96.45684881283962,0.0,39.154599999999995,2.9449,-0.0,0.0,1.555087924003601
110,2021-09-20 09:26:45.676948,0.0,-166.92643820635254,-96.4531119253532,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5541770458221436
111,2021-09-20 09:26:45.712232,0.0,-166.9172924348862,-96.45671686661187,0.0,39.154599999999995,2.9449,-0.0,0.0,1.4990878105163574
112,2021-09-20 09:26:45.745572,0.0,-166.90669298646702,-96.46076080807045,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5656647682189941
113,2021-09-20 09:26:45.779266,0.0,-166.89611538320887,-96.4650003408173,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5388046503067017
114,2021-09-20 09:26:45.845671,0.0,-166.87480592350815,-96.4731276942228,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5534584522247314
115,2021-09-20 09:26:45.875942,0.0,-166.8658248526462,-96.46655605554683,0.0,39.154599999999995,2.9449,-0.0,0.0,1.541582465171814
116,2021-09-20 09:26:45.908027,0.0,-166.85706670289534,-96.4698066929201,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5441794395446777
117,2021-09-20 09:26:45.941264,0.0,-166.84647920885067,-96.47378373273729,0.0,39.154599999999995,2.9449,-0.0,0.0,1.559590220451355
