,a_modem_delayed_t,modem_delayed_X,modem_delayed_Y,modem_delayed_Z,modem_delayed_ori_W,modem_delayed_ori_X,modem_delayed_ori_Y,modem_delayed_ori_Z
451,2021-06-09 13:27:51.576844,-61.56348781289494,-62.26406514180907,4.136400032043457,1.0,0.0,0.0,0.0
452,2021-06-09 13:27:57.965282,-63.89489315191488,-62.64257661654854,4.435900020599365,1.0,0.0,0.0,0.0
453,2021-06-09 13:27:59.401673,-64.71639814321274,-62.9555168382134,4.403800058364868,1.0,0.0,0.0,0.0
454,2021-06-09 13:28:00.839969,-65.90578358192434,-63.685585960018514,5.645099925994873,1.0,0.0,0.0,0.0
455,2021-06-09 13:28:02.277667,-66.634958200845,-63.89456523634189,5.532999801635742,1.0,0.0,0.0,0.0
456,2021-06-09 13:28:03.716351,-67.17826038061642,-64.12233649649008,5.639900016784668,1.0,0.0,0.0,0.0
457,2021-06-09 13:28:05.146612,-68.00531696141351,-64.43263373283547,5.74290018081665,1.0,0.0,0.0,0.0
458,2021-06-09 13:28:06.585087,-68.45391683909293,-64.51999293967623,5.951700019836426,1.0,0.0,0.0,0.0
459,2021-06-09 13:28:13.099743,-71.48549764551478,-65.39522269177034,5.778600025177002,1.0,0.0,0.0,0.0
460,2021-06-09 13:28:14.539403,-72.0579266818358,-65.58600069856959,5.683399963378906,1.0,0.0,0.0,0.0
461,2021-06-09 13:28:15.981153,-72.74075271795944,-65.99551279130527,6.541700172424316,1.0,0.0,0.0,0.0
462,2021-06-09 13:28:17.428289,-73.25483353049489,-66.0387466144659,6.444899845123291,1.0,0.0,0.0,0.0
463,2021-06-09 13:28:18.871260,-74.07227476383576,-66.33926631302711,5.846000003814697,1.0,0.0,0.0,0.0
464,2021-06-09 13:28:20.312646,-74.47400683092623,-66.36886196226445,6.313199806213379,1.0,0.0,0.0,0.0
465,2021-06-09 13:28:21.756731,-75.41097945226988,-66.94998758385769,6.123500156402588,1.0,0.0,0.0,0.0
